Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,CompositeDepth5y,Sector,Region,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
06-Mar-19,SHC-Acceptance,SEARS ROEBUCK Accep CORP,8J3644,SNRFOR,USD,XR14,Composite,,,,,,,,,,,79.88%,,Financial,N.Amer,,D,,,,,,,,,,,CcyGrp
06-Mar-19,SHIMAD,Shimadzu Corp,JQ937B,SNRFOR,JPY,CR14,Composite,0.26%,0.27%,0.41%,0.55%,0.86%,0.98%,1.05%,1.06%,1.05%,1.02%,35%,3,Industrial,Asia,,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SHIMIZ,Shimizu Corp,JQ9689,SNRFOR,JPY,CR14,Composite,0.05%,0.06%,0.11%,0.15%,0.28%,0.38%,0.40%,0.42%,0.42%,0.44%,35%,4,Industrial,Asia,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SHIMPRO,Shimao Ppty Hldgs Ltd,GO9147,SNRFOR,USD,CR14,Composite,1.79%,3.44%,4.56%,5.11%,6.33%,6.68%,6.70%,6.58%,6.52%,6.46%,30%,3,,OffShore,BB,CCC,Thin,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SHISEI,Shiseido Co Ltd,JQB78D,SNRFOR,JPY,CR14,Composite,,0.15%,0.19%,0.23%,0.33%,0.41%,0.51%,,,,35%,2,Consumer Stable,Asia,A,A,,Thin,Thin,Thin,Thin,Thin,Thin,,,,Thin
06-Mar-19,SHIW,Shibusawa Whse Co Ltd,JQ8766,SNRFOR,JPY,CR14,Composite,0.19%,0.20%,0.22%,0.24%,0.28%,0.32%,,,,,35%,2,,Asia,,A,Thin,Thin,Thin,Thin,Thin,Thin,,,,,Thin
06-Mar-19,SHIZBK,Shizuoka Bk Ltd,JQB888,SNRFOR,JPY,CR14,Composite,0.14%,0.14%,0.20%,0.27%,0.47%,0.56%,0.61%,0.65%,0.67%,0.70%,35%,2,Financial,Asia,A,A,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,SHIZUP,Shizuoka Prefecture,JQB8AC,SNRFOR,JPY,CR14,Composite,0.04%,0.04%,0.07%,0.11%,0.24%,0.29%,0.33%,0.35%,0.36%,0.37%,35%,2,Unclassified,Asia,A,AA,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,SHKUEL,Shikoku Elec Pwr Co Inc,8A6965,SECDOM,JPY,CR14,Composite,0.07%,0.07%,0.12%,0.18%,0.36%,0.48%,0.54%,0.57%,0.58%,0.60%,35%,3,Utilities,Asia,A,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,SHKUEL,Shikoku Elec Pwr Co Inc,8A6965,SNRFOR,JPY,CR14,Composite,0.07%,0.07%,0.12%,0.18%,0.36%,0.48%,0.54%,0.57%,0.58%,0.60%,35%,3,Utilities,Asia,A,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,SHNFIN,Shinhan Finl Gp Co Ltd,Y5EBD6,SNRFOR,USD,CR14,Composite,0.24%,0.25%,0.29%,0.33%,0.43%,0.51%,0.56%,0.59%,0.60%,0.62%,40%,2,Financial,Asia,,A,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,SHNHAN,Shin Han Bk,8A69DH,SNRFOR,USD,CR14,Composite,0.07%,0.08%,0.15%,0.24%,0.42%,0.57%,0.67%,0.67%,0.72%,0.74%,40%,6,Financial,Asia,A,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,SHNHAN,Shin Han Bk,8A69DH,SUBLT2,USD,CR14,Composite,0.22%,0.19%,0.31%,0.47%,0.76%,0.97%,1.14%,1.09%,1.15%,1.17%,20%,6,Financial,Asia,A,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,SHOWAS,Showa Shell Sekiyu Co Ltd,JQC8C9,SNRFOR,JPY,CR14,Composite,0.15%,0.19%,0.27%,0.37%,0.62%,0.77%,0.88%,0.90%,0.91%,0.95%,35%,3,Energy,Asia,,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SHUZO,Takara Hldgs Inc,JR87A6,SNRFOR,JPY,CR14,Composite,0.10%,0.12%,0.19%,0.26%,0.39%,0.45%,0.51%,,,,35%,3,Consumer Stable,Asia,,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,,,,CcyGrp
06-Mar-19,SHW,Sherwin Williams Co,8A677C,SNRFOR,USD,XR14,Composite,0.11%,0.14%,0.27%,0.43%,0.86%,1.15%,1.29%,1.38%,1.47%,1.49%,40%,12,Consumer Cyclical,N.Amer,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
06-Mar-19,SICILY,Region Sicily,T0FD91,SNRFOR,EUR,CR14,Composite,0.88%,0.99%,1.27%,1.51%,1.90%,2.16%,2.29%,2.35%,2.39%,2.42%,40%,2,Government,Europe,BBB,B,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
