"Date","Timezone","Ticker","ShortName","RedCode","Tier","Ccy","DocClause","Spread6m","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","Spread7y","Spread10y","Spread15y","Spread20y","Spread30y","Recovery","DataRating","Sector","Region","Country","AvRating","ImpliedRating"
"06-MAR-19","E","KOCHLD","Koc Hldg AS","MS9AC6","SNRFOR","USD","CR14","","","","","","3.477008%","3.7698780000000003%","3.97943%","4.023086%","4.054911%","4.097748999999999%","25%","","Energy","MiddleEast","Turkey","BB","B"
"06-MAR-19","E","KOEXP","KOREA EXPWY CORP","Y2CF9H","SNRFOR","USD","CR14","0.124061%","0.123625%","0.163647%","0.214647%","0.276559%","0.353763%","0.5393990000000001%","0.6985439999999999%","0.689964%","0.71463%","0.715812%","40%","","Industrials","Asia","Korea (Republic of)","AA","A"
"06-MAR-19","E","KOLAHO","Korea Ld Hsg Corp","Y2CF7J","SNRFOR","USD","CR14","0.23908200000000002%","0.24506100000000003%","0.283835%","0.32644599999999996%","0.37152399999999997%","0.420744%","0.5023259999999999%","0.565261%","0.5687%","0.580086%","0.601305%","40%","","Government","Asia","Korea (Republic of)","AA","A"
"06-MAR-19","E","KOMAMIN","Komatsu Mng Corp","5F049S","SNRFOR","USD","MR14","0.569518%","0.721159%","1.4406860000000001%","2.152707%","2.848917%","3.516329%","4.011709%","4.2102%","4.220054%","4.202724%","4.153522%","40%","","Industrials","N.Amer","United States","A","B"
"06-MAR-19","E","KOMAMIN","Komatsu Mng Corp","5F049S","SNRFOR","USD","XR14","0.547656%","0.693525%","1.385735%","2.071301%","2.742557%","3.38724%","3.865796%","4.05673%","4.064224%","4.046378%","3.9977400000000003%","40%","","Industrials","N.Amer","United States","A","B"
"06-MAR-19","E","KOMATS","Komatsu Ltd","5F049D","SNRFOR","EUR","CR14","0.059467000000000006%","0.07281399999999999%","","0.168623%","","0.331797%","0.391365%","0.42693699999999996%","0.444299%","0.453471%","0.463871%","35%","","Industrials","Asia","Japan","A","A"
"06-MAR-19","E","KOMATS","Komatsu Ltd","5F049D","SNRFOR","JPY","CR14","0.059467000000000006%","0.07281399999999999%","","0.168623%","","0.331797%","0.391365%","0.42693699999999996%","0.444299%","0.453471%","0.463871%","35%","","Industrials","Asia","Japan","A","A"
"06-MAR-19","E","KOMATS","Komatsu Ltd","5F049D","SNRFOR","JPY","XR14","0.059467000000000006%","0.07281399999999999%","","0.168623%","","0.331797%","0.391365%","0.42693699999999996%","0.444299%","0.453471%","0.463871%","35%","","Industrials","Asia","Japan","A","A"
"06-MAR-19","E","KOMATS","Komatsu Ltd","5F049D","SNRFOR","USD","CR14","0.059467000000000006%","0.07281399999999999%","","0.168623%","","0.331797%","0.391365%","0.42693699999999996%","0.444299%","0.453471%","0.463871%","35%","","Industrials","Asia","Japan","A","A"
"06-MAR-19","E","KOMBNK","Kommunalbanken AS","RX967V","SNRFOR","EUR","MM14","0.037289%","0.038263%","0.046661%","0.060249000000000004%","0.083753%","0.107197%","0.15384%","0.20293899999999998%","0.264347%","0.283572%","0.31275000000000003%","40%","","Government","Europe","Norway","AAA","AAA"
